Joker,Peach,MkLeo,Final Destination,1
Joker,Peach,MkLeo,Town & City,1
Joker,Peach,MkLeo,Town & City,1
Joker,Peach,Samsora,Final Destination,2
Joker,Peach,MkLeo,Battlefield,2
Joker,Peach,Samsora,Town & City,2
Joker,Peach,MkLeo,Battlefield,2
Joker,Peach,MkLeo,Final Destination,2
Pokemon Trainer,Peach,Samsora,Pokemon Stadium 2,3
Pokemon Trainer,Peach,Samsora,Lylat Cruise,3
Young Link,Peach,Samsora,Pokemon Stadium 2,3
Pokemon Trainer,Zero Suit Samus,Tweek,Town & City,4
Pokemon Trainer,Captain Falcon,Tweek,Yoshi's Story,4
Pokemon Trainer,Captain Falcon,Tweek,Yoshi's Story,4
Joker,Peach,Samsora,Pokemon Stadium 2,5
Joker,Peach,MkLeo,Smashville,5
Joker,Peach,MkLeo,Town & City,5
Joker,Peach,Samsora,Town & City,5
Joker,Peach,Samsora,Pokemon Stadium 2,5
Lucina,Pichu,MkLeo,Pokemon Stadium 2,6
Lucina,Pichu,VoiD,Town & City,6
Lucina,Pichu,MkLeo,Smashville,6
Lucina,Pichu,MkLeo,Kalos,6
Lucina,Pichu,MkLeo,Pokemon Stadium 2,7
Lucina,Pichu,VoiD,Town & City,7
Lucina,Pichu,MkLeo,Smashville,7
Lucina,Pichu,MkLeo,Smashville,7
Peach,Pichu,VoiD,Pokemon Stadium 2,8
Peach,Pichu,VoiD,Pokemon Stadium 2,8
Peach,Pichu,Samsora,Final Destination,8
Peach,Pichu,VoiD,Final Destination,8
Wolf,Pichu,zackray,Pokemon Stadium 2,9
Wolf,Pichu,VoiD,Final Destination,9
Wolf,Pichu,VoiD,Kalos,9
Wolf,Pichu,zackray,Smashville,9
Wolf,Pichu,VoiD,Town & City,9
Ike,Peach,Samsora,Battlefield,10
Ike,Peach,MkLeo,Pokemon Stadium 2,10
Ike,Peach,MkLeo,Yoshi's Story,10
Ike,Peach,Samsora,Unova,10
Ike,Peach,Samsora,Town & City,10
Joker,Peach,MkLeo,Pokemon Stadium,11
Joker,Palutina,MkLeo,Pokemon Stadium,11
Joker,Peach,MkLeo,Pokemon Stadium,11
Joker,Snake,MkLeo,Smashville,12
Joker,Snake,MkLeo,Town & City,12
Joker,Snake,Ally,Town & City,12
Joker,Snake,MkLeo,Battlefield,12
Pichu,Snake,Ally,Pokemon Stadium,13
Pichu,Snake,Ally,Town & City,13
Joker,Snake,VoiD,Town & City,13
Joker,Snake,Ally,Pokemon Stadium,13
Zero Suit Samus,Joker,MkLeo,Pokemon Stadium,14
Zero Suit Samus,Joker,Marss,Battlefield,14
Zero Suit Samus,Joker,MkLeo,Smashville,14
,Joker,MkLeo,Unova,14
Lucina,Wario,Tweek,Pokemon Stadium 2,15
Lucina,Wario,Tweek,Town & City,15
Lucina,Wario,Tweek,Town & City,15
Ike,Donkey Kong,MkLeo,Pokemon Stadium 2,16
Ike,Wario,MkLeo,Smashville,16
Ike,Wario,Tweek,Smashville,16
Ike,Wario,Tweek,Yoshi's Story,16
Lucina,Wario,Tweek,Pokemon Stadium 2,16
Ike,Olimar,MkLeo,Pokemon Stadium 2,17
Ike,Olimar,MkLeo,Pokemon Stadium 2,17
Ike,Olimar,Myran,Pokemon Stadium 2,17
Ike,Olimar,MkLeo,Smashville,17
Wario,Inkling,Cosmos,Pokemon Stadium 2,18
Wolf,Inkling,Tweek,Pokemon Stadium 2,18
Wolf,Inkling,Tweek,Town & City,18
Wolf,Inkling,Cosmos,Town & City,18
Wario,Inkling,Tweek,Pokemon Stadium 2,18
Rob,Rosalina & Luma,Dabuz,Final Destination,19
Rob,Rosalina & Luma,zackray,Yoshi's Story,19
Rob,Rosalina & Luma,zackray,Town & City,19
Rob,Rosalina & Luma,zackray,Battlefield,19
Wolf,Olimar,zackray,Pokemon Stadium 2,20
Wolf,Olimar,zackray,Town & City,20
Wolf,Olimar,zackray,Kalos,20
Mr. Game & Watch,Olimar,Dabuz,Final Destination,21
Mr. Game & Watch,Olimar,Dabuz,Town & City,21
Mr. Game & Watch,Olimar,Maister,Battlefield,21
Mr. Game & Watch,Olimar,Maister,Town & City,21
Mr. Game & Watch,Olimar,Dabuz,Pokemon Stadium 2,21
Palutina,Olimar,Dabuz,Pokemon Stadium 2,22
Wolf,Olimar,Nairo,Battlefield,22
Wolf,Olimar,Nairo,Town & City,22
Wolf,Olimar,Dabuz,Battlefield,22
Palutina,Olimar,Dabuz,Battlefield,22
Corrin,Mr. Game & Watch,Maister,Final Destination,23
Corrin,Mr. Game & Watch,Maister,Yoshi's Story,23
Joker,Mr. Game & Watch,Maister,Yoshi's Story,23
